post_id,date,platform,topic,keywords,hashtags,sentiment,sentiment_score,user_type,age_group,region,followers_count,views,likes,comments,shares
P110164,2025-01-28,YouTube,Health & Wellness,"public health, wellness tips, sleep health","#PublicHealth, #SelfCare",Negative,-0.353,Verified/Celebrity,18-24,North America,13525694,1590040,173410,9905.0,5153
P108108,2025-10-16,YouTube,Entertainment,"movie release, concert",#Concert,Positive,0.604,Macro-Influencer,35-44,Southeast Asia,214748,15600,1219,304.0,65
P111841,2025-06-09,YouTube,Climate & Environment,renewable energy,"#RenewableEnergy, #GoGreen",Negative,-0.637,Regular User,25-34,Australia/Oceania,1371,71,7,1.0,0
P105669,2025-05-16,Twitter/X,Politics,"election, campaign","#Budget2025, #Government",Negative,-0.47,Micro-Influencer,25-34,Southeast Asia,46809,2212,89,19.0,43
P108643,2025-02-01,Twitter/X,Climate & Environment,"flooding, conservation","#GoGreen, #Sustainability, #ClimateChange",Negative,-0.163,Regular User,18-24,Africa,635,13,0,0.0,0
P102741,2025-02-20,Facebook,Technology,"gadgets, 5G",  #5g ,Negative,-0.593,Regular User,35-44,Australia/Oceania,379,30,2,0.0,0
P108775,2025-07-25,Facebook,Entertainment,"streaming, concert, album drop","#NewAlbum, #Concert, #MovieNight",Positive,0.765,Regular User,13-17,South Asia,1865,100,5,1.0,0
P106179,2025-03-18,Facebook,Entertainment,"concert, streaming, album drop","#CelebNews, #NewAlbum, #StreamingNow",Neutral,0.143,Regular User,13-17,South Asia,1862,27,1,0.0,0
P100107,2025-01-09,Instagram,Business & Finance,"inflation, interest rates, stock market","#IPO, #Layoffs",Negative,-0.679,Regular User,18-24,South America,1488,19,0,0.0,0
P110142,2025-04-20,LinkedIn,Climate & Environment,carbon emissions,"#RenewableEnergy, #ClimateChange",Negative,-0.501,Regular User,45-54,Middle East,307,16,0,0.0,0
P101958,2025-03-23,TikTok,Education,exam results,"#OnlineLearning, #EdTech, #Education",Neutral,-0.02,Brand Account,55+,,1825015,36014,2400,344.0,387
P108809,2025-04-20,Facebook,Sports,"match result, transfer news","#GameDay, #TeamSpirit, #WorldCup",Neutral,0.106,Regular User,18-24,Middle East,185,8,0,0.0,0
P106162,2025-11-01,Instagram,Education,"online learning, exam results",#OnlineLearning,Positive,0.177,Regular User,35-44,North America,456,24,2,0.0,0
P107708,2025-10-18,LinkedIn,Climate & Environment,"renewable energy, conservation",#Sustainability,Negative,-0.84,Macro-Influencer,18-24,Middle East,251737,16742,1266,468.0,93
P105725,2025-07-22,TikTok,Entertainment,"series finale, trailer, streaming","#Concert, #NewAlbum",Positive,0.559,Regular User,25-34,Middle East,1719,322,48,2.0,4
P108691,2025-02-16,TikTok,Business & Finance,"earnings report, layoffs",#IPO,Neutral,-0.089,Regular User,25-34,Southeast Asia,171,7,0,0.0,0
P108354,2025-09-19,Facebook,Education,"curriculum, student loans","#Education, #OnlineLearning, #Scholarship",Positive,0.911,Verified/Celebrity,18-24,South America,13557257,313480,47894,1313.0,2362
P109985,2025-04-12,Facebook,Politics,"government, budget, campaign","#Vote, #Democracy",Neutral,-0.072,Regular User,13-17,Australia/Oceania,1643,33,1,0.0,0
P109853,2025-03-27,YouTube,Politics,policy,"#Budget2025, #Democracy",Positive,0.205,Micro-Influencer,,Middle East,35544,788,69,15.0,15
P107073,2025-06-15,Facebook,Climate & Environment,"conservation, heatwave","#Sustainability, #GoGreen, #ClimateChange",Neutral,0.04,Regular User,55+,Europe,1983,41,3,0.0,0
P102599,2025-12-02,LinkedIn,Business & Finance,startup funding,"#IPO, #StockMarket",Neutral,0.13,Regular User,18-24,South Asia,1385,8,0,0.0,0
P102533,2025-04-22,LinkedIn,Entertainment,"album drop, concert, celebrity","#CelebNews, #StreamingNow",Positive,0.207,Regular User,35-44,Middle East,119,10,0,0.0,0
P100114,2025-01-27,Facebook,Climate & Environment,flooding,"#Sustainability, #ClimateAction",Negative,-0.24,Regular User,18-24,Southeast Asia,253,10,0,0.0,0
P102160,2025-08-04,Instagram,Entertainment,"streaming, trailer","#StreamingNow, #BoxOffice, #NewAlbum",Positive,0.467,Regular User,45-54,Middle East,1430,150,22,1.0,2
P108673,2025-02-10,LinkedIn,Technology,AI,"#TechNews, #5G",Neutral,0.073,Regular User,,Africa,1749,19,1,0.0,0
P101313,2025-06-20,TikTok,Politics,"campaign, election, debate","#PolicyReform, #Government",Neutral,0.025,Regular User,,North America,50,6,0,0.0,0
P111431,2025-07-14,Facebook,Education,"scholarship, curriculum","#OnlineLearning, #Exams, #StudentLife",Positive,0.521,Regular User,18-24,North America,111,16,1,0.0,0
P100202,2025-10-24,Twitter/X,Sports,"match result, coach, injury update",#Transfer,Positive,0.154,Regular User,18-24,Europe,1687,49,6,0.0,0
P102442,2025-06-03,YouTube,Business & Finance,stock market,"#Crypto, #IPO, #Inflation",Neutral,-0.071,Regular User,18-24,Australia/Oceania,1817,36,2,0.0,0
P111917,2025-05-23,TikTok,Education,"scholarship, school reopening, student loans","#EdTech, #Scholarship, #Education",Positive,0.337,Regular User,25-34,Southeast Asia,1978,45,4,0.0,0
P110238,2025-04-12,Twitter/X,Health & Wellness,"sleep health, yoga, fitness routine",#Fitness,Negative,-0.415,Regular User,25-34,South Asia,1819,94,7,2.0,0
P108636,2025-08-24,YouTube,Technology,"5G, cloud computing, cybersecurity",#5G,NEUTRAL,-0.12,Regular User,45-54,Australia/Oceania,1843,63,2,1.0,0
P105656,2025-06-14,TikTok,Sports,injury update,"#TeamSpirit, #WorldCup",Neutral,0.006,Regular User,45-54,Europe,1130,26,0,0.0,0
P107858,2025-01-04,Facebook,Education,"online learning, school reopening","#Scholarship, #Exams, #StudentLife",Negative,-0.486,Micro-Influencer,55+,Europe,39453,798,32,12.0,4
P105111,2025-04-14,YouTube,Health & Wellness,"yoga, vaccine, sleep health","#Nutrition, #Yoga",Positive,0.367,Regular User,25-34,Australia/Oceania,1721,120,13,1.0,1
P100319,2025-02-11,YouTube,Health & Wellness,"public health, sleep health","#MentalHealthMatters, #PublicHealth",Neutral,0.012,Micro-Influencer,18-24,South America,15843,507,27,5.0,1
P102210,2025-01-06,Instagram,Politics,reform,"#Election2025, #PolicyReform, #Vote",NEGATIVE,-0.53,Regular User,25-34,South Asia,862,16,0,0.0,0
P108402,2025-02-10,YouTube,Health & Wellness,"wellness tips, mental health","#Wellness, #PublicHealth",Positive,0.696,Regular User,18-24,Africa,663,146,18,1.0,2
P103549,2025-09-23,LinkedIn,Entertainment,"trailer, box office","#StreamingNow, #NewAlbum, #CelebNews",Positive,1.0,Macro-Influencer,18-24,Middle East,439173,21578,2764,257.0,77
P107630,2025-08-21,Facebook,Business & Finance,layoffs,"#Layoffs, #Crypto",Neutral,-0.141,Micro-Influencer,35-44,Africa,40996,451,13,7.0,2
P104664,2025-03-02,Twitter/X,Technology,data privacy,#5G,Neutral,-0.048,Regular User,18-24,Africa,1614,18,1,0.0,0
P105154,2025-09-02,LinkedIn,Politics,"election, policy, protest",#Democracy,Negative,-0.273,Micro-Influencer,45-54,Europe,39121,405,30,7.0,5
P108568,2025-05-18,LinkedIn,Technology,"data privacy, app update, gadgets","#FutureTech, #CyberSecurity",Positive,0.448,Regular User,18-24,South America,928,69,2,1.0,0
P104308,2025-11-09,Twitter/X,Sports,coach,"#Championship, #Sports, #GameDay",Positive,0.246,Verified/Celebrity,18-24,North America,12321837,382270,47589,5860.0,6927
P107826,2025-06-16,LinkedIn,Technology,"data privacy, AI, gadgets","#FutureTech, #StartupLife, #AI",Negative,-0.249,Regular User,25-34,Middle East,930,10,0,0.0,0
P106104,2025-02-19,YouTube,Health & Wellness,"fitness routine, vaccine",#MentalHealthMatters,Positive,0.283,Verified/Celebrity,18-24,South America,15286676,573199,37767,3395.0,6476
P108862,2025-09-16,Instagram,Entertainment,concert,#Concert,Negative,-0.154,Regular User,18-24,Middle East,885,62,6,1.0,0
P104218,2025-01-31,Twitter/X,Entertainment,streaming,#MovieNight,Positive,0.584,Regular User,35-44,North America,1996,44,3,0.0,0
P108493,2025-03-11,Facebook,Business & Finance,interest rates,"#IPO, #Inflation, #Finance",Positive,0.35,Regular User,18-24,Middle East,200,12,0,0.0,0
P105305,2025-09-19,LinkedIn,Entertainment,"celebrity, streaming","#MovieNight, #AwardSeason, #NewAlbum",Positive,0.892,Macro-Influencer,18-24,North America,355537,16270,2328,164.0,186
P108364,2025-05-26,TikTok,Business & Finance,"inflation, stock market, IPO","#Finance, #Crypto",Neutral,-0.142,Micro-Influencer,55+,Australia/Oceania,12284,987,47,19.0,7
P106239,2025-01-29,Facebook,Health & Wellness,yoga,"#PublicHealth, #Yoga",Positive,0.245,Micro-Influencer,18-24,South America,49578,1008,42,16.0,4
P104403,2025-01-02,LinkedIn,Education,"student loans, exam results, curriculum","#OnlineLearning, #Exams",Positive,0.288,Macro-Influencer,25-34,South Asia,356225,13145,532,214.0,163
P100326,2025-03-17,TikTok,Entertainment,concert,"#CelebNews, #AwardSeason",Positive,0.306,Regular User,35-44,Europe,1890,37,3,0.0,0
P100538,2025-09-18,Twitter/X,Entertainment,"series finale, concert","#AwardSeason, #StreamingNow",Neutral,0.067,Regular User,35-44,Europe,1269,30,0,0.0,0
P108653,2025-04-25,LinkedIn,Climate & Environment,"heatwave, flooding","#RenewableEnergy, #Conservation",Negative,-0.674,Regular User,25-34,Southeast Asia,1542,32,1,0.0,0
P109687,2025-02-19,LinkedIn,Climate & Environment,"flooding, conservation, heatwave",#Conservation,Negative,-0.178,Regular User,13-17,Africa,75,9,0,0.0,0
P104124,2025-07-09,Twitter/X,Technology,"robotics, 5G, data privacy","#5G, #TechNews, #StartupLife",NEUTRAL,0.065,Regular User,,North America,60,7,0,0.0,0
P105339,2025-12-23,TikTok,Politics,"debate, policy, government","#Democracy, #Government, #Vote",Negative,-0.619,Micro-Influencer,25-34,,6164,508,49,2.0,7
P105161,2025-12-31,LinkedIn,Technology,cybersecurity,"#CyberSecurity, #StartupLife, #AI",Neutral,0.076,Macro-Influencer,55+,Southeast Asia,189951,3255,173,36.0,13
P105375,2025-10-31,Facebook,Politics,"voting, protest, legislation","#Government, #Protest, #Budget2025",Negative,-0.862,Regular User,35-44,Africa,1984,30,1,0.0,0
P104178,2025-10-10,Twitter/X,Entertainment,movie release,"#BoxOffice, #Concert",Neutral,0.093,Regular User,45-54,Africa,87,7,0,0.0,0
P110506,2025-03-24,TikTok,Education,online learning,#OnlineLearning,Neutral,-0.008,Regular User,25-34,South America,424,14,0,0.0,0
P108971,2025-10-19,TikTok,Education,"curriculum, online learning","#OnlineLearning, #Scholarship, #Exams",Neutral,-0.129,Micro-Influencer,25-34,North America,23370,719,82,8.0,8
P100253,2025-08-19,TikTok,Business & Finance,"startup funding, inflation","#Crypto, #Economy",Neutral,-0.069,Regular User,,North America,1429,137,4,1.0,0
P108106,2025-03-03,TikTok,Entertainment,"trailer, box office","#Concert, #AwardSeason, #NewAlbum",Positive,0.293,Regular User,18-24,Southeast Asia,1460,138,18,1.0,2
P106284,2025-08-27,Twitter/X,Education,"exam results, curriculum, online learning","#Scholarship, #OnlineLearning, #Education",Positive,0.223,Regular User,18-24,Africa,906,26,4,0.0,0
P106520,2025-09-25,LinkedIn,Sports,"transfer news, tournament","#WorldCup, #Championship",Positive,0.67,Regular User,,Middle East,290,23,2,0.0,0
P105099,2025-02-04,Instagram,Health & Wellness,"fitness routine, wellness tips","#SelfCare, #Fitness",Neutral,0.108,Macro-Influencer,18-24,Europe,296620,1876,155,18.0,18
P101742,2025-03-24,LinkedIn,Entertainment,album drop,#StreamingNow,Positive,0.426,Regular User,25-34,Europe,1033,34,1,0.0,0
P110483,2025-10-23,Twitter/X,Entertainment,"album drop, box office, award show","#MovieNight, #StreamingNow, #NewAlbum",Negative,-0.273,Regular User,35-44,Africa,623,11,0,0.0,0
P110631,2025-08-03,TikTok,Politics,"protest, voting, debate","#Vote, #Election2025",Negative,-0.252,Micro-Influencer,18-24,Southeast Asia,9391,457,26,13.0,4
P102712,2025-03-01,TikTok,Health & Wellness,"yoga, public health",#MentalHealthMatters,POSITIVE,0.156,Regular User,,Australia/Oceania,1598,170,11,1.0,1
P106420,2025-11-09,Instagram,Entertainment,award show,"#Concert, #CelebNews",Neutral,-0.042,Regular User,25-34,Africa,868,8,0,0.0,0
P109192,2025-04-19,Twitter/X,Business & Finance,"startup funding, layoffs","#Economy, #Crypto, #Inflation",Positive,0.356,Regular User,25-34,Africa,202,47,4,0.0,0
P106902,2025-08-26,LinkedIn,Health & Wellness,"sleep health, fitness routine, nutrition","#Nutrition, #MentalHealthMatters, #Yoga",Negative,-0.354,Macro-Influencer,25-34,South America,198032,1869,187,43.0,3
P100614,2025-12-13,LinkedIn,Education,school reopening,"#Exams, #Education",Positive,0.371,Verified/Celebrity,55+,South America,3067894,83562,4913,1480.0,393
P105544,2025-11-22,Instagram,Business & Finance,IPO,"#Inflation, #Finance, #StockMarket",Neutral,0.08,Regular User,25-34,North America,148,7,0,0.0,0
P106297,2025-09-11,Twitter/X,Climate & Environment,"climate change, conservation",#GoGreen,Negative,-0.701,Macro-Influencer,25-34,,340748,6867,698,127.0,140
P103311,2025-10-14,LinkedIn,Politics,budget,"#PolicyReform, #Budget2025",Negative,-0.173,Regular User,18-24,Southeast Asia,1068,9,0,0.0,0
P108901,2025-08-24,YouTube,Climate & Environment,climate change,#Conservation,Negative,-1.0,Micro-Influencer,25-34,Australia/Oceania,32483,1924,183,25.0,11
P107442,2025-10-20,YouTube,Sports,"transfer news, world cup, league table","#WorldCup, #Transfer",Positive,0.323,Micro-Influencer,35-44,Australia/Oceania,44025,6160,822,26.0,55
P109304,2025-09-18,Facebook,Politics,reform,"#Election2025, #Protest, #PolicyReform",Neutral,-0.003,Macro-Influencer,35-44,South Asia,50698,393,23,7.0,4
P104387,2025-01-15,LinkedIn,Education,"edtech, school reopening","#Education, #StudentLife",Positive,0.539,Regular User,18-24,North America,1190,27,0,0.0,0
P110558,2025-01-31,LinkedIn,Education,"edtech, online learning, scholarship","#Exams, #Education, #OnlineLearning",Positive,0.614,Regular User,35-44,Europe,68,18,1,0.0,0
P101980,2025-04-17,TikTok,Health & Wellness,"public health, fitness routine, wellness tips","#Nutrition, #PublicHealth",Positive,0.525,Regular User,25-34,Europe,1092,168,7,1.0,1
P101748,2025-03-09,TikTok,Business & Finance,"inflation, IPO","#Crypto, #Inflation, #IPO",Negative,-0.453,Regular User,55+,Europe,234,21,1,0.0,0
P100965,2025-01-13,LinkedIn,Climate & Environment,renewable energy,"#Sustainability, #RenewableEnergy, #Conservation",Neutral,0.049,Micro-Influencer,55+,Africa,16557,72,1,0.0,0
P103079,2025-12-04,Facebook,Technology,"startup, cloud computing, gadgets","#StartupLife, #5G, #AI",Positive,0.305,Regular User,18-24,Europe,761,12,0,0.0,0
P111193,2025-07-30,LinkedIn,Entertainment,"streaming, movie release, trailer","#AwardSeason, #Concert, #MovieNight",Positive,0.379,Micro-Influencer,25-34,South America,25366,543,61,4.0,2
P111269,2025-03-30,LinkedIn,Technology,"AI, robotics","#AI, #CyberSecurity",Positive,0.249,Micro-Influencer,18-24,Australia/Oceania,24887,454,58,8.0,1
P109817,2025-12-15,YouTube,Business & Finance,"inflation, interest rates, stock market",#Economy,Negative,-0.497,Regular User,18-24,South America,603,35,2,0.0,0
P109907,2025-07-18,YouTube,Health & Wellness,"wellness tips, nutrition, fitness routine",#SelfCare,Negative,-0.264,Regular User,18-24,Africa,184,51,5,1.0,0
P109461,2025-02-27,Facebook,Business & Finance,"IPO, earnings report","#Finance, #Inflation",Positive,0.207,Micro-Influencer,13-17,Middle East,45027,2167,290,16.0,5
P107813,2025-08-10,Instagram,Entertainment,"series finale, trailer","#StreamingNow, #Concert, #CelebNews",Positive,0.867,Regular User,55+,North America,478,40,5,0.0,0
P107251,2025-11-22,Twitter/X,Politics,"election, debate","#Vote, #Democracy, #PolicyReform",Negative,-1.0,Brand Account,25-34,North America,2001432,25545,3040,356.0,495
P107039,2025-05-07,YouTube,Technology,"startup, robotics",#AI,Positive,0.579,Micro-Influencer,25-34,Southeast Asia,3951,95,4,1.0,0
P102406,2025-06-21,Instagram,Sports,world cup,"#Championship, #GameDay, #MatchDay",Positive,0.237,Regular User,18-24,Australia/Oceania,1205,34,2,0.0,0
P109331,2025-11-19,Facebook,Technology,"startup, robotics, app update","#Gadgets, #5G, #StartupLife",Positive,0.17,Regular User,25-34,Southeast Asia,222,9,0,0.0,0
P107345,2025-07-25,Facebook,Health & Wellness,"yoga, wellness tips",#Fitness,Negative,-0.27,Brand Account,18-24,South Asia,1878552,23104,1320,94.0,404
P109518,2025-01-14,Facebook,Climate & Environment,"conservation, renewable energy, heatwave","#GoGreen, #ClimateChange, #RenewableEnergy",Neutral,-0.148,Verified/Celebrity,35-44,South America,9178758,61676,5013,765.0,430
P109928,2025-06-03,YouTube,Education,"school reopening, online learning",#EdTech,NEUTRAL,0.089,Micro-Influencer,35-44,Australia/Oceania,26252,604,34,7.0,5
P101487,2025-07-30,YouTube,Business & Finance,"layoffs, earnings report, interest rates",#Inflation,Neutral,0.086,Regular User,35-44,Australia/Oceania,1467,56,6,0.0,0
P100907,2025-12-01,Facebook,Climate & Environment,"renewable energy, heatwave","#Sustainability, #GoGreen",Neutral,-0.024,Macro-Influencer,25-34,Southeast Asia,143092,581,38,10.0,6
P100210,2025-09-26,Facebook,Climate & Environment,"renewable energy, carbon emissions","#Sustainability, #Conservation",Neutral,-0.007,Regular User,25-34,Middle East,699,30,1,0.0,0
P106231,2025-11-18,Twitter/X,Education,school reopening,#Education,Neutral,-0.08,Regular User,13-17,South Asia,1900,57,4,0.0,0
P111698,2025-07-04,Instagram,Climate & Environment,"renewable energy, sustainability, conservation","#Conservation, #RenewableEnergy, #ClimateAction",Neutral,-0.089,Regular User,,Australia/Oceania,1579,12,0,,0
P100961,2025-01-08,Twitter/X,Technology,"5G, robotics",#Gadgets,Neutral,0.083,Regular User,18-24,Africa,1162,7,0,0.0,0
P102574,2025-01-12,TikTok,Business & Finance,"IPO, layoffs, interest rates",#Inflation,Positive,0.511,Macro-Influencer,18-24,Africa,357082,43596,5017,411.0,369
P106826,2025-10-23,Facebook,Sports,"championship, league table, world cup","#Transfer, #GameDay",Neutral,0.045,Regular User,35-44,Southeast Asia,906,15,1,0.0,0
P111883,2025-11-06,Facebook,Sports,"transfer news, league table, injury update","#MatchDay, #TeamSpirit",Positive,0.366,Micro-Influencer,13-17,South Asia,43393,694,74,13.0,6
P102242,2025-10-22,TikTok,Education,"curriculum, student loans","#Scholarship, #EdTech, #StudentLife",Neutral,-0.022,Micro-Influencer,45-54,Europe,31246,546,28,2.0,4
P105356,2025-06-09,Instagram,Health & Wellness,wellness tips,"#Fitness, #Wellness, #SelfCare",Negative,-0.5,Regular User,25-34,North America,88,18,0,0.0,0
P106533,2025-08-01,TikTok,Politics,"protest, budget, campaign","#Government, #PolicyReform",Neutral,0.097,Macro-Influencer,18-24,Middle East,57904,4383,294,56.0,34
P102277,2025-09-10,TikTok,Business & Finance,"earnings report, inflation, layoffs","  #inflation, #crypto, #layoffs ",Negative,-0.362,Regular User,25-34,Africa,1125,13,1,0.0,0
P101749,2025-06-09,TikTok,Sports,tournament,"#GameDay, #Championship",Positive,0.433,Regular User,,Europe,1447,112,13,2.0,2
P108828,2025-03-19,YouTube,Education,"student loans, edtech, scholarship","#Education, #EdTech",Neutral,0.108,Regular User,18-24,South Asia,1371,17,0,0.0,0
P111554,2025-05-29,YouTube,Sports,tournament,#Sports,Neutral,0.039,Regular User,13-17,Europe,1386,8,0,0.0,0
P104604,2025-11-16,LinkedIn,Technology,"app update, robotics, AI","  #5g, #cybersecurity ",Neutral,0.079,Brand Account,18-24,Africa,1307428,16605,843,174.0,150
P110533,2025-09-22,TikTok,Politics,protest,#Vote,Negative,-0.382,Regular User,25-34,Australia/Oceania,540,36,3,0.0,0
P103147,2025-04-29,Twitter/X,Business & Finance,interest rates,"#Economy, #Finance, #Layoffs",Negative,-0.244,Regular User,18-24,Middle East,1462,10,0,0.0,0
P105661,2025-11-30,YouTube,Health & Wellness,mental health,"#Yoga, #MentalHealthMatters",Positive,0.377,Regular User,35-44,Southeast Asia,1898,66,2,0.0,0
P109969,2025-07-17,Twitter/X,Sports,"championship, transfer news",#WorldCup,Positive,0.576,Regular User,25-34,Southeast Asia,850,40,1,0.0,0
P103357,2025-09-12,Twitter/X,Health & Wellness,"fitness routine, mental health",#MentalHealthMatters,Neutral,-0.037,Regular User,25-34,South America,52,6,0,0.0,0
P100029,2025-06-25,Instagram,Sports,"match result, coach","#WorldCup, #Transfer, #GameDay",Positive,0.255,Regular User,45-54,Australia/Oceania,1280,98,8,0.0,1
P110675,2025-08-15,LinkedIn,Business & Finance,"inflation, startup funding",  #crypto ,Negative,-0.278,Regular User,18-24,South America,1404,51,1,1.0,0
P105728,2025-10-28,YouTube,Entertainment,"concert, series finale","#StreamingNow, #CelebNews, #AwardSeason",Positive,0.715,Regular User,25-34,,1342,89,5,0.0,0
P109284,2025-04-10,TikTok,Climate & Environment,"renewable energy, flooding, carbon emissions","#GoGreen, #Sustainability, #RenewableEnergy",Neutral,-0.03,Regular User,25-34,South Asia,1284,84,2,,0
P101196,2025-03-16,Facebook,Business & Finance,"IPO, layoffs","#IPO, #Economy, #StockMarket",Negative,-0.454,Regular User,18-24,Africa,333,15,0,0.0,0
P109757,2025-07-04,Instagram,Health & Wellness,"public health, wellness tips","#Nutrition, #PublicHealth, #Yoga",Positive,0.322,Regular User,18-24,Australia/Oceania,1737,12,1,0.0,0
P106759,2025-04-09,LinkedIn,Climate & Environment,"heatwave, renewable energy, climate change","#GoGreen, #RenewableEnergy",Negative,-0.353,Regular User,25-34,South America,1355,13,0,0.0,0
P111056,2025-10-09,YouTube,Politics,"budget, debate, policy","#Budget2025, #Vote, #Democracy",Negative,-1.0,Macro-Influencer,18-24,South Asia,179328,50047,3353,583.0,964
P101502,2025-12-03,LinkedIn,Entertainment,album drop,"#MovieNight, #CelebNews",Positive,1.0,Micro-Influencer,45-54,Australia/Oceania,46041,921,51,5.0,8
P108224,2025-02-16,LinkedIn,Business & Finance,"earnings report, interest rates, inflation",#IPO,Positive,0.712,Brand Account,18-24,North America,1819882,6790,844,105.0,118
P105329,2025-03-17,Facebook,Business & Finance,"startup funding, interest rates, stock market","#Layoffs, #StockMarket, #Economy",Negative,-0.344,Regular User,25-34,Africa,509,16,1,0.0,0
P102636,2025-04-10,TikTok,Politics,"debate, protest, policy","#Protest, #Election2025, #PolicyReform",Negative,-0.433,Regular User,45-54,Australia/Oceania,880,111,8,2.0,0
P105929,2025-01-18,YouTube,Technology,"robotics, app update, cloud computing",#Gadgets,Neutral,-0.057,Micro-Influencer,35-44,Europe,12592,268,29,4.0,2
P109833,2025-06-05,LinkedIn,Health & Wellness,mental health,"#Yoga, #Fitness, #Wellness",Negative,-0.267,Brand Account,25-34,South America,2813989,43778,3343,1055.0,356
P103780,2025-01-01,LinkedIn,Technology,gadgets,#Innovation,Positive,0.17,Regular User,55+,Australia/Oceania,1607,9,1,0.0,0
P110995,2025-02-20,YouTube,Business & Finance,"stock market, crypto",#StockMarket,Neutral,-0.094,Regular User,18-24,,160,15,0,0.0,0
P102021,2025-06-09,Instagram,Climate & Environment,climate change,"#ClimateAction, #Sustainability",NEUTRAL,0.139,Verified/Celebrity,18-24,,13747496,173243,18052,2592.0,1748
P109509,2025-11-09,Instagram,Business & Finance,crypto,"#Crypto, #IPO",Neutral,-0.062,Regular User,,North America,1387,8,0,0.0,0
P103920,2025-08-31,Facebook,Health & Wellness,wellness tips,"#Fitness, #Yoga, #PublicHealth",Positive,0.487,Macro-Influencer,25-34,South America,116134,1597,165,30.0,29
P108233,2025-07-28,TikTok,Sports,"coach, transfer news",#GameDay,Positive,0.981,Regular User,13-17,Europe,726,56,4,0.0,1
P110440,2025-03-27,Instagram,Entertainment,"series finale, streaming, album drop",#BoxOffice,Positive,0.578,Micro-Influencer,45-54,Southeast Asia,48044,272,21,0.0,1
P101119,2025-01-06,Instagram,Entertainment,"award show, trailer, movie release","#Concert, #AwardSeason",Positive,0.986,Regular User,25-34,North America,1915,149,9,2.0,3
P104256,2025-06-02,TikTok,Politics,"voting, legislation",#Protest,Negative,-1.0,Regular User,25-34,Europe,396,145,4,3.0,1
P103768,2025-04-06,Twitter/X,Business & Finance,"stock market, inflation","#IPO, #Inflation, #Crypto",Positive,0.395,Regular User,45-54,Middle East,1649,13,0,0.0,0
P105540,2025-12-13,Facebook,Business & Finance,startup funding,#Crypto,Positive,0.222,Micro-Influencer,55+,South America,9010,264,15,2.0,4
P107875,2025-03-29,YouTube,Education,"online learning, scholarship","#OnlineLearning, #Education",Neutral,-0.133,Micro-Influencer,25-34,Australia/Oceania,11238,385,9,3.0,1
P103949,2025-11-29,Twitter/X,Climate & Environment,"climate change, heatwave",  #gogreen ,Neutral,-0.14,Regular User,25-34,Southeast Asia,585,11,0,0.0,0
P109398,2025-08-24,TikTok,Climate & Environment,sustainability,"#GoGreen, #Sustainability, #ClimateAction",Neutral,0.09,Regular User,25-34,Africa,1825,30,2,0.0,0
P110486,2025-08-31,LinkedIn,Technology,"data privacy, cybersecurity","#StartupLife, #AI",Negative,-0.467,Regular User,45-54,Australia/Oceania,359,15,0,0.0,0
P106618,2025-03-21,Facebook,Entertainment,"concert, celebrity","#MovieNight, #StreamingNow, #Concert",Negative,-0.252,Regular User,18-24,South Asia,247,11,0,0.0,0
P101166,2025-04-22,YouTube,Business & Finance,"inflation, interest rates, earnings report","#Economy, #Finance, #Layoffs",Negative,-0.211,Macro-Influencer,18-24,Africa,369191,2140,116,11.0,44
P100370,2025-11-21,Facebook,Business & Finance,startup funding,"#Inflation, #Finance",Neutral,-0.019,Regular User,18-24,Europe,1349,6,0,0.0,0
P109055,2025-07-22,YouTube,Politics,"debate, legislation, voting","#Government, #Budget2025",Negative,-0.399,Regular User,18-24,Australia/Oceania,1672,105,5,1.0,0
P101261,2025-10-14,LinkedIn,Education,student loans,"#EdTech, #StudentLife",Positive,0.264,Regular User,18-24,South Asia,678,19,0,0.0,0
P105151,2025-10-01,YouTube,Politics,"debate, campaign",#Vote,Negative,-0.845,Regular User,25-34,Southeast Asia,226,64,2,1.0,0
P109901,2025-06-22,Instagram,Education,curriculum,#StudentLife,Neutral,0.036,Regular User,35-44,Australia/Oceania,257,15,1,0.0,0
P110618,2025-06-19,Facebook,Climate & Environment,climate change,"  #sustainability, #gogreen ",Positive,0.353,Regular User,45-54,South America,56,13,1,0.0,0
P109134,2025-06-12,Instagram,Technology,"5G, cloud computing","#5G, #AI, #TechNews",Positive,0.279,Regular User,35-44,Africa,1680,93,7,1.0,1
P104440,2025-02-22,Facebook,Business & Finance,startup funding,"#Finance, #StockMarket",Positive,0.317,Regular User,25-34,South America,173,12,0,0.0,0
P111110,2025-10-05,LinkedIn,Climate & Environment,"sustainability, climate change, flooding","#Sustainability, #ClimateAction",Neutral,-0.027,Regular User,25-34,South Asia,1809,19,1,0.0,0
P106171,2025-07-26,Instagram,Sports,world cup,"#Championship, #TeamSpirit, #WorldCup",Positive,0.696,Regular User,25-34,Southeast Asia,1484,39,4,0.0,0
P103325,2025-08-22,YouTube,Business & Finance,inflation,  #crypto ,Positive,0.374,Regular User,35-44,South America,1026,148,11,2.0,3
P110107,2025-02-25,TikTok,Politics,debate,"#PolicyReform, #Democracy",Positive,0.453,Regular User,25-34,Southeast Asia,232,15,1,0.0,0
P110300,2025-02-04,Twitter/X,Technology,"cloud computing, startup, AI","#CyberSecurity, #Gadgets",Neutral,-0.123,Regular User,35-44,Middle East,712,30,2,0.0,0
